Universe,dfc_method,tr,segment_length,delay,density,binarise,graph_measure,svc_kernel
Universe_1,TSW21,0.72,10,6,0.5,True,participation,linear
Universe_2,TSW21,0.72,10,6,0.5,True,participation,rbf
Universe_3,TSW21,0.72,10,6,0.5,True,clustering,linear
Universe_4,TSW21,0.72,10,6,0.5,True,clustering,rbf
Universe_5,TSW21,0.72,10,6,0.5,True,efficiency,linear
Universe_6,TSW21,0.72,10,6,0.5,True,efficiency,rbf
Universe_7,TSW21,0.72,10,6,0.5,False,participation,linear
Universe_8,TSW21,0.72,10,6,0.5,False,participation,rbf
Universe_9,TSW21,0.72,10,6,0.5,False,clustering,linear
Universe_10,TSW21,0.72,10,6,0.5,False,clustering,rbf
Universe_11,TSW21,0.72,10,6,0.5,False,efficiency,linear
Universe_12,TSW21,0.72,10,6,0.5,False,efficiency,rbf
Universe_13,TSW21,0.72,10,6,0.25,True,participation,linear
Universe_14,TSW21,0.72,10,6,0.25,True,participation,rbf
Universe_15,TSW21,0.72,10,6,0.25,True,clustering,linear
Universe_16,TSW21,0.72,10,6,0.25,True,clustering,rbf
Universe_17,TSW21,0.72,10,6,0.25,True,efficiency,linear
Universe_18,TSW21,0.72,10,6,0.25,True,efficiency,rbf
Universe_19,TSW21,0.72,10,6,0.25,False,participation,linear
Universe_20,TSW21,0.72,10,6,0.25,False,participation,rbf
Universe_21,TSW21,0.72,10,6,0.25,False,clustering,linear
Universe_22,TSW21,0.72,10,6,0.25,False,clustering,rbf
Universe_23,TSW21,0.72,10,6,0.25,False,efficiency,linear
Universe_24,TSW21,0.72,10,6,0.25,False,efficiency,rbf
Universe_25,TSW21,0.72,10,10,0.5,True,participation,linear
Universe_26,TSW21,0.72,10,10,0.5,True,participation,rbf
Universe_27,TSW21,0.72,10,10,0.5,True,clustering,linear
Universe_28,TSW21,0.72,10,10,0.5,True,clustering,rbf
Universe_29,TSW21,0.72,10,10,0.5,True,efficiency,linear
Universe_30,TSW21,0.72,10,10,0.5,True,efficiency,rbf
Universe_31,TSW21,0.72,10,10,0.5,False,participation,linear
Universe_32,TSW21,0.72,10,10,0.5,False,participation,rbf
Universe_33,TSW21,0.72,10,10,0.5,False,clustering,linear
Universe_34,TSW21,0.72,10,10,0.5,False,clustering,rbf
Universe_35,TSW21,0.72,10,10,0.5,False,efficiency,linear
Universe_36,TSW21,0.72,10,10,0.5,False,efficiency,rbf
Universe_37,TSW21,0.72,10,10,0.25,True,participation,linear
Universe_38,TSW21,0.72,10,10,0.25,True,participation,rbf
Universe_39,TSW21,0.72,10,10,0.25,True,clustering,linear
Universe_40,TSW21,0.72,10,10,0.25,True,clustering,rbf
Universe_41,TSW21,0.72,10,10,0.25,True,efficiency,linear
Universe_42,TSW21,0.72,10,10,0.25,True,efficiency,rbf
Universe_43,TSW21,0.72,10,10,0.25,False,participation,linear
Universe_44,TSW21,0.72,10,10,0.25,False,participation,rbf
Universe_45,TSW21,0.72,10,10,0.25,False,clustering,linear
Universe_46,TSW21,0.72,10,10,0.25,False,clustering,rbf
Universe_47,TSW21,0.72,10,10,0.25,False,efficiency,linear
Universe_48,TSW21,0.72,10,10,0.25,False,efficiency,rbf
Universe_49,SD,0.72,10,6,0.5,True,participation,linear
Universe_50,SD,0.72,10,6,0.5,True,participation,rbf
Universe_51,SD,0.72,10,6,0.5,True,clustering,linear
Universe_52,SD,0.72,10,6,0.5,True,clustering,rbf
Universe_53,SD,0.72,10,6,0.5,True,efficiency,linear
Universe_54,SD,0.72,10,6,0.5,True,efficiency,rbf
Universe_55,SD,0.72,10,6,0.5,False,participation,linear
Universe_56,SD,0.72,10,6,0.5,False,participation,rbf
Universe_57,SD,0.72,10,6,0.5,False,clustering,linear
Universe_58,SD,0.72,10,6,0.5,False,clustering,rbf
Universe_59,SD,0.72,10,6,0.5,False,efficiency,linear
Universe_60,SD,0.72,10,6,0.5,False,efficiency,rbf
Universe_61,SD,0.72,10,6,0.25,True,participation,linear
Universe_62,SD,0.72,10,6,0.25,True,participation,rbf
Universe_63,SD,0.72,10,6,0.25,True,clustering,linear
Universe_64,SD,0.72,10,6,0.25,True,clustering,rbf
Universe_65,SD,0.72,10,6,0.25,True,efficiency,linear
Universe_66,SD,0.72,10,6,0.25,True,efficiency,rbf
Universe_67,SD,0.72,10,6,0.25,False,participation,linear
Universe_68,SD,0.72,10,6,0.25,False,participation,rbf
Universe_69,SD,0.72,10,6,0.25,False,clustering,linear
Universe_70,SD,0.72,10,6,0.25,False,clustering,rbf
Universe_71,SD,0.72,10,6,0.25,False,efficiency,linear
Universe_72,SD,0.72,10,6,0.25,False,efficiency,rbf
Universe_73,SD,0.72,10,10,0.5,True,participation,linear
Universe_74,SD,0.72,10,10,0.5,True,participation,rbf
Universe_75,SD,0.72,10,10,0.5,True,clustering,linear
Universe_76,SD,0.72,10,10,0.5,True,clustering,rbf
Universe_77,SD,0.72,10,10,0.5,True,efficiency,linear
Universe_78,SD,0.72,10,10,0.5,True,efficiency,rbf
Universe_79,SD,0.72,10,10,0.5,False,participation,linear
Universe_80,SD,0.72,10,10,0.5,False,participation,rbf
Universe_81,SD,0.72,10,10,0.5,False,clustering,linear
Universe_82,SD,0.72,10,10,0.5,False,clustering,rbf
Universe_83,SD,0.72,10,10,0.5,False,efficiency,linear
Universe_84,SD,0.72,10,10,0.5,False,efficiency,rbf
Universe_85,SD,0.72,10,10,0.25,True,participation,linear
Universe_86,SD,0.72,10,10,0.25,True,participation,rbf
Universe_87,SD,0.72,10,10,0.25,True,clustering,linear
Universe_88,SD,0.72,10,10,0.25,True,clustering,rbf
Universe_89,SD,0.72,10,10,0.25,True,efficiency,linear
Universe_90,SD,0.72,10,10,0.25,True,efficiency,rbf
Universe_91,SD,0.72,10,10,0.25,False,participation,linear
Universe_92,SD,0.72,10,10,0.25,False,participation,rbf
Universe_93,SD,0.72,10,10,0.25,False,clustering,linear
Universe_94,SD,0.72,10,10,0.25,False,clustering,rbf
Universe_95,SD,0.72,10,10,0.25,False,efficiency,linear
Universe_96,SD,0.72,10,10,0.25,False,efficiency,rbf
Universe_97,MTD7,0.72,10,6,0.5,True,participation,linear
Universe_98,MTD7,0.72,10,6,0.5,True,participation,rbf
Universe_99,MTD7,0.72,10,6,0.5,True,clustering,linear
Universe_100,MTD7,0.72,10,6,0.5,True,clustering,rbf
Universe_101,MTD7,0.72,10,6,0.5,True,efficiency,linear
Universe_102,MTD7,0.72,10,6,0.5,True,efficiency,rbf
Universe_103,MTD7,0.72,10,6,0.5,False,participation,linear
Universe_104,MTD7,0.72,10,6,0.5,False,participation,rbf
Universe_105,MTD7,0.72,10,6,0.5,False,clustering,linear
Universe_106,MTD7,0.72,10,6,0.5,False,clustering,rbf
Universe_107,MTD7,0.72,10,6,0.5,False,efficiency,linear
Universe_108,MTD7,0.72,10,6,0.5,False,efficiency,rbf
Universe_109,MTD7,0.72,10,6,0.25,True,participation,linear
Universe_110,MTD7,0.72,10,6,0.25,True,participation,rbf
Universe_111,MTD7,0.72,10,6,0.25,True,clustering,linear
Universe_112,MTD7,0.72,10,6,0.25,True,clustering,rbf
Universe_113,MTD7,0.72,10,6,0.25,True,efficiency,linear
Universe_114,MTD7,0.72,10,6,0.25,True,efficiency,rbf
Universe_115,MTD7,0.72,10,6,0.25,False,participation,linear
Universe_116,MTD7,0.72,10,6,0.25,False,participation,rbf
Universe_117,MTD7,0.72,10,6,0.25,False,clustering,linear
Universe_118,MTD7,0.72,10,6,0.25,False,clustering,rbf
Universe_119,MTD7,0.72,10,6,0.25,False,efficiency,linear
Universe_120,MTD7,0.72,10,6,0.25,False,efficiency,rbf
Universe_121,MTD7,0.72,10,10,0.5,True,participation,linear
Universe_122,MTD7,0.72,10,10,0.5,True,participation,rbf
Universe_123,MTD7,0.72,10,10,0.5,True,clustering,linear
Universe_124,MTD7,0.72,10,10,0.5,True,clustering,rbf
Universe_125,MTD7,0.72,10,10,0.5,True,efficiency,linear
Universe_126,MTD7,0.72,10,10,0.5,True,efficiency,rbf
Universe_127,MTD7,0.72,10,10,0.5,False,participation,linear
Universe_128,MTD7,0.72,10,10,0.5,False,participation,rbf
Universe_129,MTD7,0.72,10,10,0.5,False,clustering,linear
Universe_130,MTD7,0.72,10,10,0.5,False,clustering,rbf
Universe_131,MTD7,0.72,10,10,0.5,False,efficiency,linear
Universe_132,MTD7,0.72,10,10,0.5,False,efficiency,rbf
Universe_133,MTD7,0.72,10,10,0.25,True,participation,linear
Universe_134,MTD7,0.72,10,10,0.25,True,participation,rbf
Universe_135,MTD7,0.72,10,10,0.25,True,clustering,linear
Universe_136,MTD7,0.72,10,10,0.25,True,clustering,rbf
Universe_137,MTD7,0.72,10,10,0.25,True,efficiency,linear
Universe_138,MTD7,0.72,10,10,0.25,True,efficiency,rbf
Universe_139,MTD7,0.72,10,10,0.25,False,participation,linear
Universe_140,MTD7,0.72,10,10,0.25,False,participation,rbf
Universe_141,MTD7,0.72,10,10,0.25,False,clustering,linear
Universe_142,MTD7,0.72,10,10,0.25,False,clustering,rbf
Universe_143,MTD7,0.72,10,10,0.25,False,efficiency,linear
Universe_144,MTD7,0.72,10,10,0.25,False,efficiency,rbf
Universe_145,PSc,0.72,10,6,0.5,True,participation,linear
Universe_146,PSc,0.72,10,6,0.5,True,participation,rbf
Universe_147,PSc,0.72,10,6,0.5,True,clustering,linear
Universe_148,PSc,0.72,10,6,0.5,True,clustering,rbf
Universe_149,PSc,0.72,10,6,0.5,True,efficiency,linear
Universe_150,PSc,0.72,10,6,0.5,True,efficiency,rbf
Universe_151,PSc,0.72,10,6,0.5,False,participation,linear
Universe_152,PSc,0.72,10,6,0.5,False,participation,rbf
Universe_153,PSc,0.72,10,6,0.5,False,clustering,linear
Universe_154,PSc,0.72,10,6,0.5,False,clustering,rbf
Universe_155,PSc,0.72,10,6,0.5,False,efficiency,linear
Universe_156,PSc,0.72,10,6,0.5,False,efficiency,rbf
Universe_157,PSc,0.72,10,6,0.25,True,participation,linear
Universe_158,PSc,0.72,10,6,0.25,True,participation,rbf
Universe_159,PSc,0.72,10,6,0.25,True,clustering,linear
Universe_160,PSc,0.72,10,6,0.25,True,clustering,rbf
Universe_161,PSc,0.72,10,6,0.25,True,efficiency,linear
Universe_162,PSc,0.72,10,6,0.25,True,efficiency,rbf
Universe_163,PSc,0.72,10,6,0.25,False,participation,linear
Universe_164,PSc,0.72,10,6,0.25,False,participation,rbf
Universe_165,PSc,0.72,10,6,0.25,False,clustering,linear
Universe_166,PSc,0.72,10,6,0.25,False,clustering,rbf
Universe_167,PSc,0.72,10,6,0.25,False,efficiency,linear
Universe_168,PSc,0.72,10,6,0.25,False,efficiency,rbf
Universe_169,PSc,0.72,10,10,0.5,True,participation,linear
Universe_170,PSc,0.72,10,10,0.5,True,participation,rbf
Universe_171,PSc,0.72,10,10,0.5,True,clustering,linear
Universe_172,PSc,0.72,10,10,0.5,True,clustering,rbf
Universe_173,PSc,0.72,10,10,0.5,True,efficiency,linear
Universe_174,PSc,0.72,10,10,0.5,True,efficiency,rbf
Universe_175,PSc,0.72,10,10,0.5,False,participation,linear
Universe_176,PSc,0.72,10,10,0.5,False,participation,rbf
Universe_177,PSc,0.72,10,10,0.5,False,clustering,linear
Universe_178,PSc,0.72,10,10,0.5,False,clustering,rbf
Universe_179,PSc,0.72,10,10,0.5,False,efficiency,linear
Universe_180,PSc,0.72,10,10,0.5,False,efficiency,rbf
Universe_181,PSc,0.72,10,10,0.25,True,participation,linear
Universe_182,PSc,0.72,10,10,0.25,True,participation,rbf
Universe_183,PSc,0.72,10,10,0.25,True,clustering,linear
Universe_184,PSc,0.72,10,10,0.25,True,clustering,rbf
Universe_185,PSc,0.72,10,10,0.25,True,efficiency,linear
Universe_186,PSc,0.72,10,10,0.25,True,efficiency,rbf
Universe_187,PSc,0.72,10,10,0.25,False,participation,linear
Universe_188,PSc,0.72,10,10,0.25,False,participation,rbf
Universe_189,PSc,0.72,10,10,0.25,False,clustering,linear
Universe_190,PSc,0.72,10,10,0.25,False,clustering,rbf
Universe_191,PSc,0.72,10,10,0.25,False,efficiency,linear
Universe_192,PSc,0.72,10,10,0.25,False,efficiency,rbf
Universe_193,FLS,0.72,10,6,0.5,True,participation,linear
Universe_194,FLS,0.72,10,6,0.5,True,participation,rbf
Universe_195,FLS,0.72,10,6,0.5,True,clustering,linear
Universe_196,FLS,0.72,10,6,0.5,True,clustering,rbf
Universe_197,FLS,0.72,10,6,0.5,True,efficiency,linear
Universe_198,FLS,0.72,10,6,0.5,True,efficiency,rbf
Universe_199,FLS,0.72,10,6,0.5,False,participation,linear
Universe_200,FLS,0.72,10,6,0.5,False,participation,rbf
Universe_201,FLS,0.72,10,6,0.5,False,clustering,linear
Universe_202,FLS,0.72,10,6,0.5,False,clustering,rbf
Universe_203,FLS,0.72,10,6,0.5,False,efficiency,linear
Universe_204,FLS,0.72,10,6,0.5,False,efficiency,rbf
Universe_205,FLS,0.72,10,6,0.25,True,participation,linear
Universe_206,FLS,0.72,10,6,0.25,True,participation,rbf
Universe_207,FLS,0.72,10,6,0.25,True,clustering,linear
Universe_208,FLS,0.72,10,6,0.25,True,clustering,rbf
Universe_209,FLS,0.72,10,6,0.25,True,efficiency,linear
Universe_210,FLS,0.72,10,6,0.25,True,efficiency,rbf
Universe_211,FLS,0.72,10,6,0.25,False,participation,linear
Universe_212,FLS,0.72,10,6,0.25,False,participation,rbf
Universe_213,FLS,0.72,10,6,0.25,False,clustering,linear
Universe_214,FLS,0.72,10,6,0.25,False,clustering,rbf
Universe_215,FLS,0.72,10,6,0.25,False,efficiency,linear
Universe_216,FLS,0.72,10,6,0.25,False,efficiency,rbf
Universe_217,FLS,0.72,10,10,0.5,True,participation,linear
Universe_218,FLS,0.72,10,10,0.5,True,participation,rbf
Universe_219,FLS,0.72,10,10,0.5,True,clustering,linear
Universe_220,FLS,0.72,10,10,0.5,True,clustering,rbf
Universe_221,FLS,0.72,10,10,0.5,True,efficiency,linear
Universe_222,FLS,0.72,10,10,0.5,True,efficiency,rbf
Universe_223,FLS,0.72,10,10,0.5,False,participation,linear
Universe_224,FLS,0.72,10,10,0.5,False,participation,rbf
Universe_225,FLS,0.72,10,10,0.5,False,clustering,linear
Universe_226,FLS,0.72,10,10,0.5,False,clustering,rbf
Universe_227,FLS,0.72,10,10,0.5,False,efficiency,linear
Universe_228,FLS,0.72,10,10,0.5,False,efficiency,rbf
Universe_229,FLS,0.72,10,10,0.25,True,participation,linear
Universe_230,FLS,0.72,10,10,0.25,True,participation,rbf
Universe_231,FLS,0.72,10,10,0.25,True,clustering,linear
Universe_232,FLS,0.72,10,10,0.25,True,clustering,rbf
Universe_233,FLS,0.72,10,10,0.25,True,efficiency,linear
Universe_234,FLS,0.72,10,10,0.25,True,efficiency,rbf
Universe_235,FLS,0.72,10,10,0.25,False,participation,linear
Universe_236,FLS,0.72,10,10,0.25,False,participation,rbf
Universe_237,FLS,0.72,10,10,0.25,False,clustering,linear
Universe_238,FLS,0.72,10,10,0.25,False,clustering,rbf
Universe_239,FLS,0.72,10,10,0.25,False,efficiency,linear
Universe_240,FLS,0.72,10,10,0.25,False,efficiency,rbf
